Gloss,Instances with Video
book,11
drink,20
computer,20
before,19
chair,11
go,17
clothes,9
who,15
candy,16
cousin,13
deaf,16
fine,13
help,14
no,15
thin,17
walk,12
year,13
yes,16
all,13
black,15
cool,15
finish,15
hot,16
like,16
many,14
mother,16
now,15
orange,15
table,8
thanksgiving,15
what,11
woman,15
bed,15
blue,12
bowling,16
can,11
dog,14
family,14
fish,14
graduate,13
hat,12
hearing,15
kiss,13
language,13
later,13
man,14
shirt,15
study,15
tall,15
white,15
wrong,15
accident,14
apple,14
bird,14
change,14
color,14
corn,12
cow,13
dance,12
dark,13
doctor,11
eat,9
enjoy,11
forget,14
give,13
last,11
meet,13
pink,13
pizza,15
play,11
school,12
secretary,14
short,13
time,11
want,12
work,12
africa,13
basketball,12
birthday,11
brown,12
but,11
cheat,12
city,13
cook,12
decide,13
full,13
how,11
jacket,9
letter,12
medicine,8
need,12
paint,11
paper,13
pull,13
purple,12
right,10
same,11
son,13
tell,12
thursday,14
visit,14
wait,12
water,13
wife,12
yellow,12
backpack,12
bar,10
brother,11
cat,11
check,12
class,10
cry,10
different,12
door,11
green,11
hair,12
have,10
headache,13
inform,10
knife,8
laugh,12
learn,12
movie,7
rabbit,10
read,10
red,10
room,10
run,9
show,10
sick,11
snow,10
take,10
tea,10
teacher,12
week,12
why,11
with,10
write,13
yesterday,13
again,12
bad,12
ball,11
bathroom,10
blanket,9
buy,11
call,10
coffee,11
cold,11
college,12
copy,8
cute,8
daughter,12
example,9
far,12
first,11
friend,9
good,12
happy,11
home,10
know,11
late,10
leave,11
list,12
lose,10
name,10
old,8
person,10
police,11
problem,10
remember,11
share,10
soon,9
stay,11
sunday,12
test,9
tired,10
trade,13
travel,10
window,9
you,12
about,8
approve,11
arrive,11
balance,11
banana,10
beard,10
because,9
boy,10
business,11
careful,11
center,10
chat,11
children,7
christmas,9
clock,7
close,6
convince,11
country,9
crash,10
day,10
discuss,11
dress,9
drive,9
drop,10
fat,11
feel,9
football,10
future,10
game,9
girl,10
government,11
hear,10
here,9
hope,11
house,10
husband,9
interest,10
join,10
light,10
live,7
make,10
mean,8
more,11
most,11
music,10
new,10
none,8
office,10
order,7
pants,9
party,10
past,11
pencil,9
plan,10
please,9
practice,9
president,11
restaurant,10
ride,7
russia,11
salt,11
sandwich,11
sign,10
since,10
small,10
some,9
south,11
student,11
teach,11
theory,9
tomato,10
train,8
ugly,11
war,9
where,9
your,12
always,10
animal,10
argue,11
baby,10
back,8
bake,9
bath,10
behind,9
bring,10
catch,8
cereal,9
champion,11
cheese,10
cough,9
crazy,10
delay,11
delicious,10
disappear,10
divorce,8
draw,9
east,9
easy,9
egg,9
environment,9
father,10
fault,10
flower,9
friendly,9
glasses,10
halloween,9
hard,9
heart,8
hour,10
humble,10
hurry,8
improve,9
internet,10
jump,7
